"dollarAmt","qType","item","prior_version","model"
0.63,"eps","coffee maker","v4",0.999999999999999
0.63,"eps","coffee maker","v4",0.999999999999999
6,"eps","coffee maker","v4",0.963102612135716
6,"eps","coffee maker","v4",0.963102612135716
30,"eps","coffee maker","v4",0.694652162132544
30,"eps","coffee maker","v4",0.694652162132544
60,"eps","coffee maker","v4",0.432400713421473
60,"eps","coffee maker","v4",0.432400713421473
120,"val","coffee maker","v4",0.706844963953362
120,"val","coffee maker","v4",0.706844963953362
130,"eps","coffee maker","v4",0.122135336275462
130,"eps","coffee maker","v4",0.122135336275462
180,"val","coffee maker","v4",0.900645794687042
180,"val","coffee maker","v4",0.900645794687042
190,"eps","coffee maker","v4",0.0291511721788896
190,"eps","coffee maker","v4",0.0291511721788896
250,"val","coffee maker","v4",0.996380234121596
250,"val","coffee maker","v4",0.996380234121596
300,"val","coffee maker","v4",0.999999999999999
300,"val","coffee maker","v4",0.999999999999999
350,"val","coffee maker","v4",0.999999999999999
350,"val","coffee maker","v4",0.999999999999999
0.79,"eps","headphones","v4",1
0.79,"eps","headphones","v4",1
8,"eps","headphones","v4",0.920892845987894
8,"eps","headphones","v4",0.920892845987894
40,"eps","headphones","v4",0.647580759176046
40,"eps","headphones","v4",0.647580759176046
80,"eps","headphones","v4",0.396231114170135
80,"eps","headphones","v4",0.396231114170135
120,"val","headphones","v4",0.614249535499387
120,"val","headphones","v4",0.614249535499387
160,"eps","headphones","v4",0.122322344505757
160,"eps","headphones","v4",0.122322344505757
200,"val","headphones","v4",0.867106335062335
200,"val","headphones","v4",0.867106335062335
250,"eps","headphones","v4",0.0149570823346306
250,"eps","headphones","v4",0.0149570823346306
300,"val","headphones","v4",0.996267450889823
300,"val","headphones","v4",0.996267450889823
350,"val","headphones","v4",1
350,"val","headphones","v4",1
450,"val","headphones","v4",1
450,"val","headphones","v4",1
6,"eps","laptop","v4",0.999999999999999
6,"eps","laptop","v4",0.999999999999999
60,"eps","laptop","v4",0.926878499736133
60,"eps","laptop","v4",0.926878499736133
300,"eps","laptop","v4",0.665017297256581
300,"eps","laptop","v4",0.665017297256581
550,"eps","laptop","v4",0.454546899799042
550,"eps","laptop","v4",0.454546899799042
1150,"eps","laptop","v4",0.139880565800294
1150,"eps","laptop","v4",0.139880565800294
1200,"val","laptop","v4",0.73201999480911
1200,"val","laptop","v4",0.73201999480911
1700,"eps","laptop","v4",0.0346917023161406
1700,"eps","laptop","v4",0.0346917023161406
1800,"val","laptop","v4",0.930158637835438
1800,"val","laptop","v4",0.930158637835438
2350,"val","laptop","v4",0.999065407591384
2350,"val","laptop","v4",0.999065407591384
2900,"val","laptop","v4",0.999999999999999
2900,"val","laptop","v4",0.999999999999999
3450,"val","laptop","v4",0.999999999999999
3450,"val","laptop","v4",0.999999999999999
0.49,"eps","sweater","v4",0.999999999999999
0.49,"eps","sweater","v4",0.999999999999999
5,"eps","sweater","v4",0.923855986975682
5,"eps","sweater","v4",0.923855986975682
20,"eps","sweater","v4",0.717185057573737
20,"eps","sweater","v4",0.717185057573737
50,"eps","sweater","v4",0.401823075930703
50,"eps","sweater","v4",0.401823075930703
80,"val","sweater","v4",0.637248711967395
80,"val","sweater","v4",0.637248711967395
100,"eps","sweater","v4",0.124282810384767
100,"eps","sweater","v4",0.124282810384767
130,"val","sweater","v4",0.877436806384586
130,"val","sweater","v4",0.877436806384586
150,"eps","sweater","v4",0.0270793319581232
150,"eps","sweater","v4",0.0270793319581232
180,"val","sweater","v4",0.97327475168707
180,"val","sweater","v4",0.97327475168707
250,"val","sweater","v4",0.999999999999999
250,"val","sweater","v4",0.999999999999999
300,"val","sweater","v4",0.999999999999999
300,"val","sweater","v4",0.999999999999999
7,"eps","watch","v4",1
7,"eps","watch","v4",1
70,"eps","watch","v4",0.893829834958124
70,"eps","watch","v4",0.893829834958124
350,"eps","watch","v4",0.568476547549805
350,"eps","watch","v4",0.568476547549805
650,"eps","watch","v4",0.361995714929711
650,"eps","watch","v4",0.361995714929711
700,"val","watch","v4",0.520776172641266
700,"val","watch","v4",0.520776172641266
1300,"eps","watch","v4",0.125181008764109
1300,"eps","watch","v4",0.125181008764109
1400,"val","watch","v4",0.802372373702824
1400,"val","watch","v4",0.802372373702824
1950,"eps","watch","v4",0.0373557076643922
1950,"eps","watch","v4",0.0373557076643922
2050,"val","watch","v4",0.935423178251655
2050,"val","watch","v4",0.935423178251655
2700,"val","watch","v4",0.995309959110714
2700,"val","watch","v4",0.995309959110714
3350,"val","watch","v4",1
3350,"val","watch","v4",1
